BookingID,CustomerID,DestinationID,HotelID,TransportID,BookingDate,TravelDate,Travellers,Nights,BookingChannel,BookingStatus,PaymentMethod,HotelAmount,TransportAmount,ActivityAmount,Discount,TotalAmount
B000001,C0031,D010,H008,T002,2026-02-11,2026-02-28,4,9,Corporate,Completed,UPI,249048,20296,3160,52101.90746645646,220402.09
B000002,C0053,D004,H016,T009,2025-04-08,2025-04-24,2,4,Agent,Confirmed,Card,26640,30844,7426,1696.3645475609117,63213.64
B000003,C0099,D013,H024,T001,2025-07-20,2025-09-30,2,3,Corporate,Confirmed,UPI,34218,34708,17708,15315.392066342838,71318.61
B000004,C0075,D005,H006,T001,2025-11-23,2026-02-05,3,3,Website,Confirmed,UPI,91845,83715,13329,26625.67777513938,162263.32
B000005,C0022,D010,H011,T006,2026-01-28,2026-03-18,3,6,Website,Completed,NetBanking,130248,65376,18066,29598.353418941857,184091.65
B000006,C0060,D014,H024,T006,2026-04-22,2026-04-26,1,1,Corporate,Cancelled,Wallet,5703,6481,1916,1055.528529941772,13044.47
B000007,C0062,D019,H014,T003,2025-01-25,2025-04-20,3,5,Agent,Confirmed,NetBanking,117795,102876,18624,16459.102326755656,222835.9
B000008,C0066,D006,H029,T003,2025-04-18,2025-05-24,1,1,Website,Confirmed,Wallet,16248,16908,8800,47.32204504270441,41908.68
B000009,C0003,D006,H001,T001,2025-06-02,2025-08-25,3,1,Corporate,Confirmed,NetBanking,46497,101439,21237,33232.50905140345,135940.49
B000010,C0030,D015,H022,T007,2025-06-19,2025-09-05,5,4,Website,Confirmed,UPI,339520,173285,34505,66389.34142321866,480920.66
B000011,C0086,D001,H025,T004,2026-06-28,2026-09-12,3,7,Agent,Confirmed,Card,48636,9693,33051,7352.9579308336615,84027.04
B000012,C0025,D012,H028,T002,2026-02-28,2026-05-01,4,8,Website,Confirmed,Wallet,488448,73792,12768,62534.284547715564,512473.72
B000013,C0030,D015,H005,T004,2025-06-24,2025-08-24,2,1,Website,Confirmed,UPI,7356,31276,7886,377.0473144179875,46140.95
B000014,C0033,D012,H030,T010,2026-06-14,2026-08-01,5,3,Corporate,Confirmed,UPI,64245,90965,38320,6721.3338755193345,186808.67
B000015,C0018,D008,H012,T003,2025-09-30,2025-10-04,5,4,Corporate,Confirmed,Wallet,250360,59410,30110,42373.51425931225,297506.49
B000016,C0016,D017,H011,T009,2025-09-30,2025-11-05,5,6,Website,Completed,UPI,217080,101095,58805,38773.27737122622,338206.72
B000017,C0035,D008,H011,T003,2025-08-25,2025-10-30,4,9,Website,Confirmed,Wallet,260496,71952,4744,53079.06673852289,284112.93
B000018,C0088,D015,H020,T002,2025-03-20,2025-06-01,4,7,Agent,Completed,Wallet,169428,30924,7628,27401.06095176424,180578.94
B000019,C0001,D010,H020,T003,2026-05-25,2026-07-15,3,5,Website,Completed,NetBanking,90765,33495,13296,16546.217169004118,121009.78
B000020,C0029,D001,H015,T004,2025-01-08,2025-03-13,5,1,Agent,Completed,NetBanking,80785,32145,28860,23119.304842690082,118670.7
B000021,C0007,D011,H003,T002,2025-04-05,2025-04-08,5,1,Corporate,Confirmed,UPI,27095,148800,53700,3134.573543837725,226460.43
B000022,C0057,D001,H030,T006,2025-05-06,2025-06-18,3,2,Corporate,Confirmed,Card,25698,72573,18546,16141.46457974269,100675.54
B000023,C0026,D019,H007,T004,2025-06-02,2025-07-18,1,6,Website,Completed,Wallet,56436,14482,5527,10940.666415475758,65504.33
B000024,C0080,D013,H003,T008,2025-03-13,2025-06-01,1,3,Website,Confirmed,Wallet,16257,14758,2418,1839.9085912903618,31593.09
B000025,C0059,D008,H018,T005,2025-01-10,2025-02-08,2,3,Agent,Confirmed,Card,83382,8298,10986,4017.313115922967,98648.69
B000026,C0079,D010,H013,T005,2026-01-05,2026-01-27,1,7,Website,Confirmed,Wallet,59115,11211,6613,3290.7191218218245,73648.28
B000027,C0064,D013,H019,T005,2026-06-13,2026-07-16,2,8,Agent,Confirmed,Wallet,127280,64936,14426,8188.84486026283,198453.16
B000028,C0044,D006,H027,T002,2025-03-08,2025-03-24,1,4,Mobile App,Confirmed,UPI,11580,2551,7468,2262.634308265348,19336.37
B000029,C0087,D006,H003,T008,2025-06-11,2025-08-01,5,8,Agent,Completed,NetBanking,216760,31975,27200,7484.809245345976,268450.19
B000030,C0048,D009,H009,T002,2025-10-03,2025-11-30,1,7,Website,Confirmed,NetBanking,15106,29842,2309,6231.1743906188485,41025.83
B000031,C0095,D006,H016,T008,2026-05-21,2026-08-01,4,7,Corporate,Confirmed,NetBanking,93240,75720,9024,3740.44976814756,174243.55
B000032,C0100,D016,H024,T010,2026-01-14,2026-04-11,2,8,Agent,Completed,Wallet,91248,5166,4558,543.0201522814378,100428.98
B000033,C0059,D003,H019,T008,2026-02-22,2026-03-02,1,2,Website,Confirmed,Wallet,15910,17907,7613,2645.638948906488,38784.36
B000034,C0068,D017,H012,T005,2025-11-13,2025-12-06,4,7,Mobile App,Completed,NetBanking,350504,106496,41392,19124.27028615156,479267.73
B000035,C0026,D007,H019,T004,2025-08-16,2025-09-13,5,9,Website,Confirmed,Card,357975,65295,53275,94228.39183907954,382316.61
B000036,C0082,D012,H030,T009,2025-04-19,2025-05-12,4,9,Mobile App,Confirmed,Wallet,154188,57184,16320,13797.966736027092,213894.03
B000037,C0068,D004,H015,T003,2026-04-17,2026-06-30,5,6,Mobile App,Completed,Wallet,484710,113245,7075,26871.08679360332,578158.91
B000038,C0091,D008,H027,T005,2026-03-15,2026-03-29,3,7,Website,Confirmed,NetBanking,60795,64668,23244,5852.210028619541,142854.79
B000039,C0027,D016,H024,T008,2025-01-14,2025-01-18,4,8,Agent,Confirmed,NetBanking,182496,126988,3764,23421.73494477675,289826.27
B000040,C0079,D006,H010,T010,2026-01-25,2026-04-12,1,8,Agent,Completed,UPI,114448,9797,7707,15988.594687358473,115963.41
B000041,C0048,D003,H008,T010,2025-02-15,2025-05-12,5,9,Website,Completed,Card,311310,53740,24525,60925.266105231094,328649.73
B000042,C0019,D011,H024,T001,2026-02-07,2026-02-28,4,8,Website,Completed,UPI,182496,26820,40600,18222.687506191338,231693.31
B000043,C0018,D004,H007,T009,2026-03-27,2026-04-27,2,4,Website,Confirmed,NetBanking,75248,47548,15382,17299.08361607051,120878.92
B000044,C0057,D007,H011,T002,2025-03-13,2025-04-28,2,7,Agent,Confirmed,Wallet,101304,38736,18016,15238.491856489374,142817.51
B000045,C0032,D010,H008,T006,2025-08-25,2025-10-12,4,4,Mobile App,Completed,UPI,110688,52488,20660,31123.263694767953,152712.74
B000046,C0011,D012,H019,T010,2025-03-09,2025-06-06,1,8,Website,Confirmed,Wallet,63640,24803,10166,11222.528120763229,87386.47
B000047,C0043,D013,H009,T007,2025-11-06,2025-12-13,5,8,Website,Confirmed,UPI,86320,70595,32690,10992.982089327357,178612.02
B000048,C0066,D014,H020,T010,2026-05-21,2026-05-24,2,9,Corporate,Completed,UPI,108918,16098,15378,19755.88587685681,120638.11
B000049,C0032,D017,H029,T004,2025-02-14,2025-03-25,1,6,Mobile App,Confirmed,Wallet,97488,19584,4647,19963.485883534206,101755.51
B000050,C0096,D002,H025,T004,2025-08-05,2025-09-24,2,5,Agent,Confirmed,UPI,23160,32236,11336,6211.957181434584,60520.04
B000051,C0078,D008,H029,T004,2026-06-15,2026-08-01,5,2,Mobile App,Confirmed,NetBanking,162480,75400,50805,56997.806981348454,231687.19
B000052,C0052,D001,H001,T004,2025-06-14,2025-07-31,2,6,Website,Confirmed,Wallet,185988,32790,10052,40232.74777306965,188597.25
B000053,C0094,D001,H014,T007,2025-03-14,2025-06-05,3,6,Mobile App,Completed,Card,141354,96375,2235,9452.406070322,230511.59
B000054,C0044,D005,H007,T005,2025-09-24,2025-12-06,5,5,Website,Completed,UPI,235150,43675,24290,47695.50123772758,255419.5
B000055,C0014,D012,H028,T008,2025-10-05,2025-10-29,1,7,Agent,Confirmed,Card,106848,10739,5007,14734.603369963044,107859.4
B000056,C0004,D018,H022,T005,2025-12-28,2026-01-30,4,8,Mobile App,Confirmed,UPI,543232,81716,21244,69118.15643060805,577073.84
B000057,C0094,D016,H010,T004,2025-06-20,2025-08-19,2,2,Mobile App,Confirmed,NetBanking,57224,6128,2624,6781.522437634721,59194.48
B000058,C0096,D013,H017,T002,2026-06-05,2026-07-13,4,4,Website,Confirmed,Wallet,219728,25552,7948,43221.51937290179,210006.48
B000059,C0074,D016,H019,T006,2025-10-11,2025-11-19,1,7,Corporate,Confirmed,Wallet,55685,20472,4226,9820.757478085181,70562.24
B000060,C0011,D004,H015,T009,2025-06-06,2025-06-22,1,8,Website,Completed,Wallet,129256,18576,5375,16476.064170425478,136730.94
B000061,C0030,D017,H015,T009,2026-06-08,2026-07-02,4,8,Agent,Confirmed,Wallet,517024,93476,3332,5998.354857021357,607833.65
B000062,C0005,D018,H002,T003,2026-05-20,2026-07-26,5,8,Corporate,Confirmed,Wallet,649200,26495,24890,62814.853201959784,637770.15
B000063,C0006,D002,H014,T005,2025-09-30,2025-12-15,5,8,Agent,Cancelled,Wallet,314120,150520,20905,88179.00804867722,397365.99
B000064,C0025,D010,H011,T008,2025-01-14,2025-03-26,4,9,Agent,Confirmed,NetBanking,260496,71060,3588,47706.8588838946,287437.14
