ReviewID,BookingID,Rating,ReviewDate,ReviewCategory
R00001,B000150,4,2025-11-14,Transport
R00002,B000520,1,2025-09-24,Destination
R00003,B000726,1,2025-04-30,Overall
R00004,B000625,3,2025-03-23,Hotel
R00005,B000778,4,2025-09-12,Overall
R00006,B000213,4,2025-07-15,Destination
R00007,B000458,2,2025-10-19,Transport
R00008,B000448,1,2025-04-01,Transport
R00009,B000940,2,2025-05-07,Transport
R00010,B000203,4,2025-03-03,Hotel
R00011,B000327,5,2025-08-20,Hotel
R00012,B000022,5,2025-05-31,Transport
R00013,B000152,3,2025-05-02,Hotel
R00014,B000981,1,2025-10-27,Destination
R00015,B000848,5,2025-09-29,Transport
R00016,B000260,1,2025-04-25,Transport
R00017,B000703,2,2026-01-16,Hotel
R00018,B000594,5,2025-07-07,Overall
R00019,B000907,3,2025-07-06,Destination
R00020,B000301,1,2025-09-18,Transport
R00021,B000995,3,2025-03-17,Destination
R00022,B000371,1,2025-08-17,Transport
R00023,B000717,2,2025-11-14,Hotel
R00024,B000398,5,2025-03-12,Destination
R00025,B000672,2,2025-11-04,Overall
R00026,B000336,5,2025-01-22,Destination
R00027,B000844,3,2025-11-25,Destination
R00028,B000638,4,2025-01-20,Hotel
R00029,B000289,4,2025-04-06,Destination
R00030,B000961,3,2025-07-10,Destination
R00031,B000710,1,2025-12-01,Transport
R00032,B000429,5,2026-01-27,Hotel
R00033,B000136,3,2025-09-13,Overall
R00034,B000974,4,2025-03-13,Transport
R00035,B000755,3,2025-07-31,Transport
R00036,B000668,4,2026-03-05,Destination
R00037,B000834,2,2025-02-19,Transport
R00038,B000608,5,2026-01-26,Destination
R00039,B000233,2,2025-07-30,Destination
R00040,B000238,4,2025-01-03,Transport
R00041,B000080,3,2026-01-14,Hotel
R00042,B000063,3,2025-01-15,Hotel
R00043,B000729,1,2025-07-21,Overall
R00044,B000852,2,2025-04-17,Destination
R00045,B000164,1,2025-11-15,Transport
R00046,B000574,3,2025-01-31,Transport
R00047,B000124,4,2025-02-19,Destination
R00048,B000415,3,2025-10-17,Overall
R00049,B000791,4,2026-06-26,Overall
R00050,B000812,2,2025-01-22,Destination
R00051,B000949,2,2025-09-09,Transport
R00052,B000311,3,2026-03-14,Overall
R00053,B000949,2,2025-06-08,Overall
R00054,B000784,5,2025-09-26,Transport
R00055,B000339,5,2026-04-03,Overall
R00056,B000328,3,2026-02-01,Overall
R00057,B000108,4,2025-06-09,Overall
R00058,B000921,1,2026-02-14,Hotel
R00059,B000204,1,2026-01-04,Hotel
R00060,B000268,2,2025-10-04,Transport
R00061,B000413,2,2025-08-29,Overall
R00062,B000138,2,2026-05-20,Hotel
R00063,B000806,3,2026-04-22,Hotel
R00064,B000699,4,2026-06-24,Hotel
R00065,B000157,3,2026-01-04,Hotel
R00066,B000163,3,2025-07-15,Overall
R00067,B000022,1,2025-03-01,Destination
R00068,B000950,2,2025-03-10,Destination
R00069,B000436,5,2026-06-03,Transport
R00070,B000656,5,2025-07-17,Destination
R00071,B000150,1,2025-03-02,Overall
R00072,B000231,1,2025-05-02,Destination
R00073,B000542,5,2025-01-12,Overall
R00074,B000209,1,2025-10-17,Destination
R00075,B000613,3,2025-11-19,Transport
R00076,B000924,5,2025-07-26,Destination
R00077,B000306,4,2026-02-10,Overall
R00078,B000608,3,2025-09-19,Overall
R00079,B000916,2,2026-06-08,Transport
