HotelID,HotelName,StarRating,HotelType,BaseNightlyRate
H001,TravelStay Hotel 01,4,Boutique,15499
H002,TravelStay Hotel 02,5,Hotel,16230
H003,TravelStay Hotel 03,3,Hotel,5419
H004,TravelStay Hotel 04,5,Hostel,16273
H005,TravelStay Hotel 05,4,Boutique,3678
H006,TravelStay Hotel 06,3,Hostel,10205
H007,TravelStay Hotel 07,3,Hostel,9406
H008,TravelStay Hotel 08,4,Hotel,6918
H009,TravelStay Hotel 09,3,Hotel,2158
H010,TravelStay Hotel 10,3,Hostel,14306
H011,TravelStay Hotel 11,4,Villa,7236
H012,TravelStay Hotel 12,5,Hotel,12518
H013,TravelStay Hotel 13,3,Villa,8445
H014,TravelStay Hotel 14,3,Boutique,7853
H015,TravelStay Hotel 15,3,Hostel,16157
H016,TravelStay Hotel 16,4,Hotel,3330
H017,TravelStay Hotel 17,5,Hostel,13733
H018,TravelStay Hotel 18,5,Hostel,13897
H019,TravelStay Hotel 19,5,Resort,7955
H020,TravelStay Hotel 20,5,Resort,6051
H021,TravelStay Hotel 21,3,Boutique,1885
H022,TravelStay Hotel 22,3,Resort,16976
H023,TravelStay Hotel 23,4,Hotel,17153
H024,TravelStay Hotel 24,5,Boutique,5703
H025,TravelStay Hotel 25,5,Hostel,2316
H026,TravelStay Hotel 26,3,Hostel,3788
H027,TravelStay Hotel 27,3,Resort,2895
H028,TravelStay Hotel 28,3,Hostel,15264
H029,TravelStay Hotel 29,3,Resort,16248
H030,TravelStay Hotel 30,4,Villa,4283
